id,title,url,date,publication,full_text
0,China pneumonia outbreak: Mystery virus probed in Wuhan,https://www.bbc.com/news/world-asia-china-50984025,1/3/2020,www.bbc.com,"Image copyright Getty Images Image caption The outbreak has occurred in the city of Wuhan

Chinese authorities have launched an investigation into a mysterious viral pneumonia which has infected dozens of people in the central city of Wuhan.

A total of 44 cases have been confirmed so far, 11 of which are considered ""severe"", officials said on Friday.

The outbreak has prompted Singapore and Hong Kong to bring in screening processes for travellers from the city.

It comes amid online fears the virus could be linked to Sars, or severe acute respiratory syndrome.

The potentially deadly, flu-like Sars virus killed more than 700 people around the world in 2002-03, after originating in China.

There has been speculation on social media about a possible connection to the highly contagious disease.

Wuhan police said eight people had been punished for ""publishing or forwarding false information on the internet without verification"".

The Wuhan health commission said on Friday it was investigating the cause of the outbreak.

In a statement on its website, it said it had already ruled out a number of infection sources - including influenza, avian influenza and common respiratory diseases - but did not mention Sars.

There has also been no human-to-human transmission, the statement added. However, a number of those infected worked at a seafood market in the city, leading authorities to clean the area.

A spokesman for the World Health Organization (WHO) said it was aware of the outbreak and was in contact with the Chinese government.

""There are many potential causes of viral pneumonia, many of which are more common than severe acute respiratory syndrome coronovirus,"" the spokesman added. ""WHO is closely monitoring this event and will share more details as we have them. ""

Fears sparked by an older epidemic

Analysis by BBC Health's Philippa Roxby

This latest outbreak appears to have sparked memories for those who dealt with a Sars epidemic 18 years ago.

At the time, the WHO criticised China for under-reporting the number of cases of Sars in a southern Chinese province.

In the 2002-03 epidemic, the virus affected more than 8,000 people in 26 countries, killing 349 people in mainland China and 299 in Hong Kong.

Travellers flying to other countries are thought to have been behind the large number of cases in that outbreak because Sars spreads quickly without swift treatment in hospital.

China sacked its health minister at the time for the poor handling of the crisis.

The country has been free of Sars since May 2004."
1,China pneumonia: Sars ruled out as dozens fall ill in Wuhan,https://www.bbc.com/news/world-asia-china-51000910,1/5/2020,www.bbc.com,"Image copyright Getty Images Image caption Hong Kong airport is health screening passengers arriving from Wuhan

A mysterious viral pneumonia that has infected dozens in central China is not Severe Acute Respiratory Syndrome (Sars), health chiefs have said.

They also discounted bird flu and Middle East Respiratory Syndrome, and said investigations were continuing.

A total of 59 cases have been reported in the city of Wuhan, seven of which are considered critical.

The outbreak prompted Singapore and Hong Kong to bring in screening processes for travellers from the city.

An epidemic of the potentially deadly, flu-like Sars virus killed more than 700 people around the world in 2002-03, after originating in China.

In a statement posted on its website late on Sunday, the Wuhan Municipal Health Commission said 163 people who had had contact with those infected had been placed under medical observation. It said efforts were continuing to identify the virus and its source.

The commission said previously that there had been no human-to-human transmission of the illness. It added that a number of those infected worked at a seafood market in the city, leading authorities to sanitise the area.

Image copyright Getty Images Image caption The outbreak occurred in the city of Wuhan

Singapore and Hong Kong have both set up systems to check travellers arriving from Wuhan for possible fever.

Hong Kong has admitted 16 travellers with pneumonia-like symptoms to hospital, the South China Morning Post reported, but none have so far been found to have the unidentified strain. Singapore has had one suspicious case, it added.

The World Health Organization (WHO) has said it is aware of the outbreak and is in contact with the Chinese government.

""There are many potential causes of viral pneumonia, many of which are more common than severe acute respiratory syndrome coronovirus,"" a spokesman said last week. ""WHO is closely monitoring this event and will share more details as we have them."""
2,China mystery illness: travellers checked as officials fear lunar new year could spread bug,https://www.theguardian.com/world/2020/jan/07/china-mystery-illness-travellers-checked-as-officials-fear-lunar-new-year-could-spread-bug,1/7/2020,www.theguardian.com,"Pneumonia-like illness in Wuhan is unclear in origin, with officials racing to contain outbreak before people travel for new year

China has been battling what may be a new strain of pneumonia after 59 people contracted a mysterious respiratory illness in central China, prompting fears of another Sars outbreak.

Health officials are worried about the upcoming Spring Festival in late January, when China celebrates lunar new year and millions of people will be travelling across the country to go home. Authorities have warned citizens to be on the lookout for symptoms like fever, difficulty breathing or body ache.

On Tuesday, Hong Kong’s chief executive, Carrie Lam, said health officials had “strengthened measures on all borders”. Since Monday, all travellers arriving on trains from Wuhan have been subjected to body temperature checks.

Health authorities in Wuhan first reported 27 cases of an unidentified pneumonia-like illness at the end of December, a figure that jumped to 59 as of Sunday. The patients, seven of whom are in critical condition, have been quarantined. There have been no reported deaths.

Authorities said epidemiologists have ruled out the possibility of Sars, the deadly respiratory virus that spread to at least 37 countries and killed more than 800 people in 2002 and 2003, an outbreak made worse by a government cover-up.

Mystery viral outbreak in Hong Kong revives fears of Sars epidemic Read more

Wuhan officials said there was no “clear” evidence of human-to-human transmission. Investigators also ruled out Middle East Respiratory Syndrome (Mers) and bird flu. Symptoms of the mysterious virus include fevers, problems breathing and invasive lesions to both lungs, shown in radiographs.

Some of the patients worked at a seafood market in the city, according to the health commission, suggesting the possibility of animal-to-human transmission. Several shops at the market also sold wild animals including birds, snakes, deer, groundhogs, according to Chinese media reports.

The market has been shuttered since New Year’s Day. Shopkeepers nearby said they were concerned about the apparent outbreak but continued normal operations.

“Of course we are worried but we don’t wear face masks. It isn’t good for business and also nothing has been confirmed yet,” said a woman surnamed Huang, who sells eyeglasses near the seafood market.

The World Health Organization (WHO) said on Sunday it was closely monitoring the situation and was in “close contact” with Chinese authorities. “There is limited information to determine the overall risk of this reported cluster of pneumonia of unknown etiology,” the organisation said.

Wuhan, the capital of Hubei province, is a major urban centre with a population of more than 10 million. Local authorities have identified 120 close contacts that are now under medical observation, according to the WHO. Wuhan authorities said they were also carrying out extra sanitation and hygiene measures, and investigating the cause of the virus.

Elsewhere in the region citizens braced for the worst. In Hong Kong, which was hit badly by the Sars outbreak, shoppers stockpiled face masks. Hospitals have reported 21 patients with fevers and other respiratory symptoms who recently visited Wuhan. Seven have been discharged and the other cases have so far not proven to be related to the cluster in Wuhan.

In Singapore, where travellers coming from the city are now required to go through temperature screening, a three-year-old Chinese girl who had travelled to Wuhan was quarantined. On Sunday, officials said she had a common childhood respiratory infection.

Authorities also appear to worried about panic spreading, with censors on Weibo blocking the hashtag #WuhanSARS. While Chinese media have been reporting on the outbreak, citizens who remember the Sars cover-up still mistrust the information released by their government.

Online internet users questioned authorities assurance that there were no examples of “clear human-to-human transmission” of the infection.

One user wrote: “Do we have to wait until it is ‘obvious’ before we fix the situation?”

Additional reporting by Lillian Yang"
3,China reports first death from mysterious outbreak in Wuhan,https://www.aljazeera.com/news/2020/01/china-reports-death-mysterious-outbreak-wuhan-200111023325546.html,1/10/2020,www.aljazeera.com,"A 61-year-old man has died from pneumonia in the central Chinese city of Wuhan in an outbreak of a yet to be identified virus while seven others are in critical condition, the Wuhan health authorities said on Saturday.

In total, 41 people have been diagnosed with the pathogen, which preliminary lab tests cited by Chinese state media earlier this week pointed to a new type of coronavirus, the Wuhan Municipal Health Commission said in a statement on its website.

More:

Two of them have been discharged from hospital and the rest are in a stable condition, while 739 people deemed to have been in close contact with the patients have been cleared, it said.

The man who died was a regular buyer at the seafood market, and had been previously diagnosed with abdominal tumours and chronic liver disease, it said.

Treatments did not improve his symptoms after he was admitted to hospital and he died on the evening of January 9 when his heart failed.

The commission added that no new cases had been detected since January 3.

The Wuhan health authority also said that the patients were mainly vendors and purchasers at a seafood market in the city, and that to date, no medical staff had been infected, nor had clear evidence of human-to-human transmission been found.

The World Health Organization said on Thursday that a newly emerging member of the family of viruses that caused the deadly Severe Acute Respiratory Syndrome (SARS) and Middle East Respiratory Syndrome (MERS) outbreaks, could be the cause of the present outbreak.

Coronaviruses are a large family of viruses that can cause infections ranging from the common cold to SARS. Some of the virus types cause less serious disease, while some like the one that causes MERS, are far more severe.

The outbreak comes ahead of the Lunar New Year holidays in late January, when many of China's 1.4 billion people will be travelling to their home towns or abroad.

The Chinese government expects passengers to make 440 million trips via rail and another 79 million trips via aeroplanes, officials told a news briefing on Thursday.

The Wuhan health authority in its statement also urged the public to take more precautions against infectious diseases and said it was pushing ahead with tests to diagnose the pathogen and, as of Friday, had completed nucleic acid tests."
4,Japan confirms first case of coronavirus infection,https://www.aljazeera.com/news/2020/01/japan-confirms-case-coronavirus-infection-200116012730381.html,1/15/2020,www.aljazeera.com,"Japan has confirmed the first case of infection from the new coronavirus that been reported in China, the health ministry announced on Thursday.

A man in his 30s from Kanagawa prefecture, southwest of Tokyo, tested positive, the ministry said.

The man had been to the Chinese city of Wuhan, where there has been an outbreak of pneumonia believed to be caused by the new coronavirus strain, it said.

More:

He reportedly returned from China to Japan with a fever and was hospitalised. He was released on Wednesday after the symptoms subsided, according to the health ministry statement.

The World Health Organization (WHO) had earlier warned that the new virus could spread and alerted hospitals worldwide.

On Monday, a Chinese woman was also ordered quarantined in Thailand after contacting the virus, authorities said.

Authorities in Asia have stepped up monitoring at airports ahead of next week's Lunar New Year holiday when hundreds of thousands of Chinese tourists are expected to travel domestically and abroad.

On Wednesday, the US State Department also issued a health alert about travel to the Wuhan region. It referenced a Watch Level 1 Alert by the US Centers for Disease Control and Prevention urging citizens travelling in the region to avoid contact with animals, animal markets or animal products, among other precautions.

On Saturday, Chinese authorities announced that a 61-year-old man died from pneumonia, a symptom of the disease, in Wuhan.

In total, 41 cases of pneumonia have been reported in China, which preliminary lab tests cited by Chinese state media show could have been caused by a new type of coronavirus.

Coronaviruses are a large family of viruses that can lead to infections ranging from the common cold to SARS. Some of the virus types cause less serious disease, while some like the one that causes MERS, are far more severe. SARS originated in southern China in 2002 and infected more than 8,000 people in 37 countries before it was brought under control. Nearly 800 people died.

""The possibility of cases being identified in other countries was not unexpected and reinforces why WHO calls for on-going active monitoring and preparedness in other countries,"" WHO said in a statement.

WHO Director-General Tedros Adhanom Ghebreyesus has been consulting international experts on the public health risks of the outbreak to decide whether an emergency meeting is needed, it said."
5,Coronavirus: more cases and second death reported in China,https://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak,1/17/2020,www.theguardian.com,"More cases of coronavirus have been confirmed in the Chinese city of Wuhan and a second person has died, according to local authorities. It comes as disease-modelling experts warned that far more people may have been affected by the previously unknown virus than thought.

The Wuhan municipal health commission said in a statement that four patients diagnosed with pneumonia on Thursday were in a stable condition, taking the total number of cases to nearly 50. The statement released in the early hours on Saturday is the first confirmation of new cases by the commission in nearly a week.

On Friday, the commission announced the second death from the virus. A 69-year-old man was admitted to hospital with abnormal renal function and severe damage to multiple organs, and died on 15 January, the commission said.

Preliminary lab tests cited by state media showed the pathogen could be from a new type of coronavirus, a large family of viruses that can cause infections ranging from the common cold to deadly severe acute respiratory syndrome (Sars).

World Health Organization disease-modelling experts based at Imperial College, London, said that far more people may have been infected and they warned human-to-human transmission could not be ruled out.

Prof Neil Ferguson and colleagues, from the MRC Centre for Global Infectious Disease Analysis at Imperial, calculated that the number of cases in Wuhan may be more than 1,700. “It is likely that the Wuhan outbreak of a novel coronavirus has caused substantially more cases of moderate or severe respiratory illness than currently reported,” they said in a report.

The report said all hospitalised cases of pneumonia or severe respiratory disease in the Wuhan area and other well-connected Chinese cities should be investigated.

They cautioned that because of the unknown factors in their estimates, the case numbers could be anywhere from 190 to over 4,000. But in a tweet, they said that “the magnitude of these numbers suggests that substantial human-to-human transmission cannot be ruled out. Heightened surveillance, prompt information sharing and enhanced preparedness are recommended.”

Their calculation is based on the two people in Thailand and one in Japan who were diagnosed with the virus. Based on flight and population data, said Ferguson, “there is only a 1 in 574 chance that a person infected in Wuhan would travel overseas before they sought medical care. This implies there might have been over 1,700 (3 x 574) cases in Wuhan so far.”

US authorities announced they would begin screening passengers arriving from Wuhan on direct or connecting flights at three airports: San Francisco, New York’s JFK and Los Angeles. Authorities in Hong Kong, Thailand, Malaysia, Singapore and South Korea, Indonesia and the Philippines have all stepped up screening.

In Australia, the New South Wales and Victorian governments both issued alerts to health professionals about the virus, but there was no specific screening for the virus or change to travel advice.

Japan and Thailand both reported new cases of the mystery strain of coronavirus virus this week and experts say it might spread further as a result of the Chinese lunar new year holiday starting next week, which sees millions of people travel across the country.

On Thursday Japan confirmed a man in his 30s had been infected with the virus, and a Chinese woman was quarantined in Thailand. The World Health Organization (WHO) has warned a wider outbreak is possible.

On Friday, Thailand confirmed a second case. A 74-year-old Chinese woman from Wuhan had been quarantined since her arrival on Monday and was found to be infected with the newly identified coronavirus, said Sukhum Karnchanapimai, permanent secretary of the Public Health Ministry.

Sukhum also urged Thais to remain calm, saying that there was no outbreak in the country.

The Wuhan health commission said late on Thursday that 12 people had recovered and been discharged from hospital but five others were in serious condition. It also said no human-to-human transmission had been confirmed but the possibility “cannot be excluded”.

Another WHO doctor said it would not be surprising if there was “some limited human-to-human transmission, especially among families who have close contact with one another”.

“It is not surprising that we are starting to hear of more cases in other countries and a range of severity from asymptomatic, to mild and severe illness,” said infectious disease expert and director of Wellcome Dr Jeremy Farrar.

“It is possible that the often mild symptoms from this coronavirus may be masking the true numbers of people who have been infected, or the extent of person-to-person transmission. It is probable that we are looking at patients being affected over a number of days from multiple animal sources and with some degree of human-to-human transmission.”

The first confirmed fatality from the virus was a 61-year-old man in Wuhan who died of pneumonia after testing positive.

Memories remain fresh in Asia of a 2002-03 outbreak of Sars, which emerged in China and killed nearly 800 people around the world.

With Reuters and Agence France-Presse"
6,CDC to screen at three US airports for signs of new virus from China,https://edition.cnn.com/2020/01/17/health/wuhan-virus-us-airport-screenings-china-bn/index.html,1/17/2020,edition.cnn.com,"(CNN) More than 100 staffers from the US Centers for Disease Control and Prevention are being deployed to three US airports to check passengers arriving from Wuhan, China, for fever and other symptoms of a mysterious new virus that's killed two and infected dozens in China, the CDC announced Friday.

It's a highly unusual step. The last time the CDC did routine passenger health screening was during the 2014 Ebola outbreak, according to Dr. Martin Cetron , director of the CDC's division of global migration and quarantine.

""I've been here since 1996, and that's the only other time we've ever done this -- for Ebola,"" Cetron said.

The screenings at New York City's John F. Kennedy International Airport will start tonight, and screenings at San Francisco International Airport and Los Angeles International Airport will begin Saturday. The CDC will look for symptoms such as coughing and difficulty breathing and check temperatures of each passenger with an infrared thermometer.

The CDC took these steps after travelers from Wuhan recently arrived in Thailand and Japan infected with the new virus. There have been two cases in Thailand and one in Japan.

""Considering global travel patterns, additional cases in other countries are likely,"" the World Health Organization stated in a press release Thursday.

Last year, more than 60,000 passengers flew into the United States from Wuhan, a city 700 miles south of Beijing. The vast majority flew into the three airports where the checks will take place, according to the CDC.

January is the peak travel season from China to the United States because of the Chinese Lunar New Year, Cetron said.

Cetron described the airport screenings as part of a set ""proactive preparedness precautions.""

""We believe the current risk to this virus is low,"" Dr. Nancy Messonnier , director of the CDC's National Center for Immunization and Respiratory Diseases, said at a press conference on Friday. ""For families sitting around the dinner table tonight, this is not something they need to worry about.""

At this point, it appears most people caught the virus directly from animals, and the infection does not spread very easily from person to person.

""This is not a time for people to freak out and be overly concerned,"" Cetron said. ""This is a time for vigilance and awareness.""

He added that much more common illnesses, such as the flu, are ""much bigger threats"" to Americans than the new virus from China.

""I'm fully aware that the unknown is more of a source of anxiety than that which is already defined,"" he said. ""But we should not freak out.""

What we know about the new virus

So far, two people in China have died from this new virus, officially called the 2019 Novel Coronavirus. Some 45 people in China have become infected. Some have developed pneumonia.

Coronaviruses, such as SARS, or severe acute respiratory syndrome , are common in many species of animals, including camels and bats. Sometimes -- but rarely -- they evolve and infect humans as well.

Chinese health authorities have reported that most of the patients in Wuhan had visited a large seafood and animal market. However, some patients in the outbreak reportedly had not been to animal markets, which suggests that ""some limited person-to-person spread may be occurring,"" according to the CDC.

At least for now, that spread appears to be quite limited. Cetron said it's ""reassuring"" that Chinese authorities report that no health care workers who've cared for the patients have become infected, and that some 700 other contacts of patients have also not become ill.

""This isn't anywhere near in the same category as measles or flu,"" Cetron said. Those two infections spread easily from person to person.

To learn more about this new virus, health authorities are taking a close look at SARS.

In 2003, SARS spread to more than two dozen countries in Asia, Europe, North America and South America. Worldwide, more than 8,000 people became sick and 774 died. In the United States, there were 29 SARS cases and no deaths, according to the CDC

SARS did spread person to person through close contact such as kissing, sharing utensils or talking to someone within 3 feet.

Cetron emphasized that this new virus may be different from its cousin and behave in unexpected ways.

""We have to have humility and appreciate that it may be different. We can't just assume that what we know from previous viruses will always apply,"" he said.

New screening procedures

Cetron said he expects that ""the vast majority"" of passengers arriving from Wuhan will be healthy. CDC will give them information in English and Mandarin about what symptoms to look for over the next two weeks.

Get CNN Health's weekly newsletter Sign up here to get The Results Are In with Dr. Sanjay Gupta every Tuesday from the CNN Health team.

After further investigation, travelers that are symptomatic will be sent to local hospitals that work with the CDC.

Cetron said the symptoms of the new virus are so common that he expects the screenings will catch many more people with the flu or other winter viruses than with the new coronavirus.

If it turns out someone does have the new virus, they'll be isolated in the hospital.

He added that while there are still many questions about this new virus -- its incubation period, for example, or how easily it spreads from person to person -- the progress on it in such a short time has been impressive, including a sequencing of the virus' genome

""It's quite remarkable to me that from a cluster of pneumonia detected just a little over a month ago in Wuhan, China, we have fully sequenced the virus and have some diagnostic capability to test for it,"" he said."
7,Vaccine for new Chinese coronavirus in the works,https://edition.cnn.com/2020/01/20/health/coronavirus-nih-vaccine-development/index.html,1/20/2020,edition.cnn.com,"(CNN) The National Institutes of Health is working on a vaccine against the new virus that has infected hundreds and killed four in Asia.

""The NIH is in the process of taking the first steps towards the development of a vaccine,"" said Dr. Anthony Fauc i, director of the National Institutes of Allergy and Infectious Diseases.

Fauci said it would take a few months until the first phase of the clinical trials get underway and more than a year until a vaccine might be available.

The latest

The virus, which was first reported at the end of December, has infected more than 200 people, according to a Chinese government-appointed expert. The bulk of the cases have been in China, but there have been four cases in Thailand, South Korea and Japan.

The virus originated in animals and can be spread from person to person. While most of the patients visited an animal and seafood market in Wuhan, a city about 700 miles south of Beijing, some did not.

Working on a vaccine

A team of scientists in Texas, New York and China are also at work on a vaccine, according to Dr. Peter Hotez, a vaccine scientist at Baylor College of Medicine in Houston.

""The lesson we've learned is coronavirus infections are serious and one of the newest and biggest global health threats,"" Hotez said.

He added that it's less challenging to develop a vaccine for coronaviruses than for other viruses such as HIV or influenza.

""Every virus has its challenges, but coronaviruses can be a relatively straightforward vaccine target,"" Hotez said.

If a vaccine is developed, he said, health care workers might be among the first to receive it because they're exposed to infected patients.

It is ""remarkable"" that scientists are able to start developing a vaccine for a virus that was identified less than a month ago, he said.

He credited Chinese researchers, who quickly sequenced and published the virus's genome.

""With SARS, it took almost a year to be able to identify and map the full genetic code,"" he said. ""Now we're doing this in just a few weeks.""

'An evolving situation'

Fauci emphasized there are still many questions about this new virus.

""This is an evolving situation, and it's tough to predict ultimately where it will go,"" he said. ""But we have to take it very seriously.""

A few things are clear. One, the virus jumped from animals to humans, just like SARS did nearly two decades ago.

He added it's unclear whether just one type of animal is transmitting the virus to humans, or more than one type.

Get CNN Health's weekly newsletter Sign up here to get The Results Are In with Dr. Sanjay Gupta every Tuesday from the CNN Health team.

He also said while it's clear this new virus can be spread from person to person, it's unclear how easily that spread can happen.

""Is it a continual spread? Is it sustained? We're not quite sure yet,"" he said.

Michael Osterholm, director of the Center for Infectious Disease Research and Policy at the University of Minnesota, agreed there are many questions.

""This is one of those inflection moments in outbreak history where we have enough information to be very concerned, but not enough information to say this is going to be an international crisis,"" he said."
8,China confirms human-to-human transmission of new coronavirus,https://www.aljazeera.com/news/2020/01/china-confirms-human-human-transmission-coronavirus-200120162507948.html,1/20/2020,www.aljazeera.com,"Human-to-human transmission of a new coronavirus strain has been confirmed in China, fueling fears of a major outbreak of the SARS-like virus as millions travel for the Lunar New Year holiday.

Zhong Nanshan, head of the National Health Commission, said on Monday patients may have contracted the new virus without having visited the central city of Wuhan where it was discovered before spreading across China and reaching three other Asian nations.

More:

""Currently, it can be said it is affirmative that there is the phenomenon of human-to-human transmission,"" he said in an interview with China's CCTV state broadcaster.

Zhong said two people in Guangdong province in southern China caught the disease from family members who had visited Wuhan.

He added that 14 medical personnel helping with coronavirus patients have also been infected.

Human-to-human transmission could make the virus spread more quickly and widely.

Alarm in the region

The new coronavirus strain has caused alarm because of its connection to Severe Acute Respiratory Syndrome (SARS), which killed nearly 650 people across mainland China and Hong Kong in 2002-2003.

The total number of people diagnosed with the latest strain of the virus rose to 218, according to CCTV.

South Korea on Monday reported its first case - a 35-year-old woman who flew in from Wuhan.

Thailand and Japan previously confirmed a total of three cases - all of whom had visited the Chinese city.

Meanwhile, a third person died in Wuhan, according to the local health commission.

The total number of people diagnosed with the latest strain of the virus rose to 218 [Darley Shen/Reuters]

Experts believe the epidemic ""can still be controlled"", the National Health Commission said on Sunday.

The World Health Organization (WHO) said the new cases in China were the result of ""increased searching and testing for [the virus] among people sick with respiratory illness"".

Wuhan authorities said they have installed infrared thermometers at airports, and railway and coach stations across the city. Passengers with fever were being registered, given masks and taken to medical institutions.

State TV footage showed medical staff working inside an isolation ward at a Wuhan hospital in hazmat suits.

In Hong Kong, health officials said they were expanding enhanced checks on arrivals to include anyone coming in from Hubei province, not just its capital, Wuhan. More than 100 people are being monitored in the city.

Passengers are also being screened at some airports in Thailand and the United States.

Better handling

Chinese state media moved to calm the mood as discussion swelled on social media about the coronavirus spreading to other Chinese cities.

Weighing in on the matter for the first time, China's President Xi Jinping said on Monday that safeguarding people's lives should be given ""top priority"" and that the spread of the epidemic ""should be resolutely contained"", according to CCTV.

Xi said it was necessary to ""release information on the epidemic in a timely manner and deepen international cooperation"", and ensure people have a ""stable and peaceful Spring Festival"", the broadcaster said."
9,New China virus: Cases triple as infection spreads to Beijing and Shanghai,https://www.bbc.com/news/world-asia-china-51171035,1/20/2020,www.bbc.com,"Media playback is unsupported on your device Media caption The BBC spoke to people in Beijing who seemed largely unconcerned about the virus

The number of people infected with a new virus in China tripled over the weekend, with the outbreak spreading from Wuhan to other major cities.

There are now more than 200 cases, mostly in Wuhan, though the respiratory illness has also been detected in Beijing, Shanghai and Shenzhen.

Three people have died. Japan, Thailand and South Korea have reported cases.

The new strain of coronavirus, which causes a type of pneumonia, can pass from person to person, China confirmed.

Respiratory expert Zhong Nanshan, who heads the health commission team investigating the virus, said 14 medical workers had caught it while treating patients, state media reported.

The sharp rise comes as millions of Chinese prepare to travel for the Lunar New Year holidays.

Although the outbreak is believed to have originated from a market, officials and scientists are yet to determine exactly how it has been spreading.

The outbreak has revived memories of the Sars virus - also a coronavirus - that killed 774 people in the early 2000s across dozens of countries, mostly in Asia. Analysis of the genetic code of the new virus shows it is more closely related to Sars than any other human coronavirus.

Experts in the UK told the BBC the number of people infected could still be far greater than official figures suggest, with estimates closer to 1,700.

What we know about the virus

2019-nCoV, as it's been labelled, is understood to be a new strain of coronavirus that has not previously been identified in humans

Coronaviruses are a broad family of viruses, but only six (the new one would make it seven) are known to infect people

Scientists believe an animal source is ""the most likely primary source"" but that some human-to-human transmission has occurred

Signs of infection include respiratory symptoms, fever, cough, shortness of breath and breathing difficulties

People are being advised to avoid ""unprotected"" contact with live animals, thoroughly cook meat and eggs, and avoid close contact with anyone with cold or flu-like symptoms

Source: World Health Organization

Who has been infected?

Authorities in Wuhan, a central Chinese city of 11 million that has been at the heart of the outbreak, on Monday said 136 new cases had been confirmed over the weekend, with a third person dying of the virus. There had previously been only 62 confirmed cases in the city.

As of late Sunday, officials said 170 people in Wuhan were still being treated in hospital, including nine in critical condition.

Beijing also confirmed its first cases, with five people infected. Shanghai confirmed its first case on Monday - a 56-year-old woman who came from Wuhan.

Image copyright AFP Image caption Airports including Narita in Tokyo have been screening passengers

In the city of Shenzhen, a major tech hub close to Hong Kong, officials said a 66-year-old man showed symptoms of the virus following a trip to visit relatives in Wuhan.

State media reported 14 other cases in Guangdong province.

Four cases have been confirmed abroad - two in Thailand, one in Japan and one in South Korea - all of them involving people who are either from Wuhan or have visited the city.

In South Korea, the Korea Centers for Disease Control and Prevention said a 35-year-old Chinese woman was suffering from a fever and respiratory problems after travelling there from Wuhan. She was put into isolation and treated at a local hospital.

The World Health Organization said it was currently not recommending restrictions on travel or trade, but was providing guidance to countries preparing for any outbreak.

Airports in Singapore, Hong Kong and the Japanese capital Tokyo have been screening air passengers from Wuhan, and US authorities last week announced similar measures at three major airports in San Francisco, Los Angeles and New York.

What are the Chinese authorities saying?

How China is responding to the outbreak is under close scrutiny, given that it was widely criticised for initially covering up the Sars crisis in late 2002 and early 2003.

On Monday, Chinese President Xi Jinping for the first time publicly addressed the outbreak, saying that the virus must be ""resolutely contained"".

The foreign ministry, meanwhile, said China was providing ""timely information about the disease"" and would ""work with all parties to deal with the virus"".

China's National Health Commission on Monday confirmed that two cases in China were due to human-to-human transmission, state-run Xinhua news agency reported.

The commission had earlier said there had been no such cases, but that the virus had instead crossed the species barrier and come from infected animals at a seafood and wildlife market in Wuhan.

Image copyright AFP Image caption Health officials have been analysing the seafood market where they believe the virus originated

The WHO also said it believed there had been ""some limited human-to-human transmission occurring between close contacts"".

""As more… cases are identified and more analysis undertaken, we will get a clearer picture of disease severity and transmission patterns,"" it wrote on Twitter.

It noted that the rise in cases in China was a result of ""increased searching and testing for [the virus] among people sick with respiratory illness"".

Media playback is unsupported on your device Media caption Coronavirus feared to have infected more than initially thought according to scientists

What impact could Lunar New Year have?

From Friday, most Chinese will begin their week-long Lunar New Year holidays.

It's a time when hundreds of millions travel around China to visit family, raising fears that authorities will not be able to adequately monitor further spread of the disease.

Wuhan is a transport hub and authorities there have for nearly a week been using temperature scanners at airports, and train and bus stations. Those showing signs of fever have been registered, given masks and taken to hospitals and clinics.

Image copyright AFP Image caption Chinese companies shut down for Lunar New Year, with hundreds of millions of people travelling

Authorities say they will now also be screening everyone leaving the city.

At Beijing's central railway station, some travellers donned masks but did not appear overly concerned about the virus.

""Watching the news, I do feel a little worried. But I haven't taken precautionary measures beyond wearing regular masks,"" Li Yang, a 28-year-old account manager travelling to the region of Inner Mongolia, told the AFP news agency.

But the tone in Chinese social media, where the outbreak has been a top trending topic, was different.

""Who knows how many people who have been to Wuhan may be unaware that they have already been infected?"" one Weibo user said."
